episode,standard_reward,modql_reward,mean_q1_q2_spread
1,12.614922650576268,6.570034965967597,0.13140069931935194
2,34.228038779145095,10.175903420826918,1.017590342082692
3,34.228038779145095,8.842243351279148,0.13336600695477707
4,49.803543262751994,14.744207115534579,0.36860517788836444
5,34.228038779145095,9.607870534496868,0.7389986129821182
6,34.228038779145095,9.183132355380392,0.07755558834765197
7,13.013040406809612,4.444463234588415,0.11111158086471037
8,25.313320856819004,10.199721092912556,0.16999535154854262
9,21.068032869600664,9.115656354177705,0.18231312708355413
10,13.97497333995326,4.910450078778901,0.12276125196947253
11,34.228038779145095,9.007378626090814,0.6475233787549486
12,39.19327872692071,14.040039182852418,0.2808007836570484
13,10.299801593022735,3.859193910481719,0.09647984776204298
14,11.017570185382127,4.23663468125884,0.105915867031471
15,10.22068565804022,5.887112237728915,0.16917602064000206
16,34.228038779145095,9.007378626090814,1.300094449147289
17,34.228038779145095,8.4838728597881,0.8483872859788101
18,31.98082556351431,8.935826593354395,0.1787165318670879
19,34.228038779145095,8.707132671887788,1.8573838170800927
20,12.614922650576268,5.52739717494333,0.11054794349886661
21,15.79183641223063,1.9349704850052851,0.048374262125132135
22,54.5415988556676,15.408896370688622,0.3081779274137725
23,34.228038779145095,9.068967539773485,2.3951277350081863
24,6.283388651673519,2.5289373732879863,0.06322343433219965
25,34.228038779145095,9.867542711104893,1.5917879182389427
26,47.40791195650587,5.376601531985362,0.09039484907995145
27,11.571932550388198,3.438931365080868,0.08597328412702171
28,65.59010647150643,5.564164813237536,0.11128329626475073
29,22.588427552922358,7.26089355499196,0.12566390248047993
30,10.532803389932297,13.491686847100732,0.33729217117751836
31,15.323917035839289,4.904346985381429,0.07337334806067093
32,34.228038779145095,9.4127106642649,2.1101317568233675
33,26.75777499543503,6.157178363747177,0.12314356727494355
34,23.86498496890301,11.726468456166801,0.23452936912333605
35,13.967563856634321,5.282806666629993,0.13127510947661258
36,12.310155600790788,5.277335005768724,0.10554670011537448
37,10.207786399072607,3.4032722392696755,0.09021909858847477
38,34.10413088469023,9.52871541840217,0.15881192364003616
39,75.02584316813994,17.00524847065663,0.3401049694131327
40,10.801278181296558,2.115641573358647,0.052891039333966175
41,64.42728811451653,2.517274860055431,0.06293187150138578
42,34.228038779145095,8.557009694786274,1.5181792233629108
43,51.075674220117456,3.712033052953267,0.12264535580864762
44,34.228038779145095,9.867542711104893,0.8543686416166376
45,51.075674220117456,3.277599356303286,0.09505316710006675
46,34.228038779145095,8.776420199780793,0.3660513691774021
47,14.292580847494015,3.224281286140961,0.08817697533266307
48,34.228038779145095,8.070025403213071,0.04138474565750294
49,24.511556956144858,2.791658927218211,0.06979147318045528
50,13.967563856634321,13.249664318410248,0.0773558518668637
51,6.242306972888758,5.177704869616105,0.1035540973923221
52,34.228038779145095,8.4838728597881,0.8049333030384321
53,13.013040406809612,6.018007302149368,0.15045018255373419
54,34.228038779145095,9.507788549762527,0.8420686124531471
55,15.84800529284854,4.40531426723193,0.0881062853446386
56,34.228038779145095,9.190862264770441,1.2387915029021093
57,34.228038779145095,7.5134719271294115,0.13428636435762176
58,34.228038779145095,9.82471483475461,0.6944764942094155
59,34.228038779145095,9.30762458029384,0.2563020118320676
60,13.967563856634321,4.583843523843477,0.1546348174748244
61,30.38510715995534,18.210320784897135,0.30350534641495225
62,34.228038779145095,10.4314022945966,0.25043279373782124
63,13.013040406809612,5.305992450528361,0.08686856480811345
64,34.228038779145095,7.791748665171242,0.7522676465387721
65,47.40050247318693,3.4423897612626693,0.053045996796456996
66,52.107010408462735,3.419551608211065,0.15979770741940738
67,62.90069955737431,15.4352938031111,0.25725489671851837
68,51.55464704873799,12.298238823931783,0.20497064706552973
69,14.69274193231265,13.866231088402145,0.34665577721005364
70,11.487326839757008,14.083702254782457,0.11534971919916262
71,49.803543262751994,5.797676693471843,0.14494191733679607
72,34.228038779145095,8.842243351279148,0.5475782244189755
73,49.803543262751994,6.020885359772873,0.20789002910363596
74,49.803543262751994,4.738285806079325,0.17649247818021183
75,11.083174473750933,14.028387829828164,0.5332884618879069
76,52.107010408462735,11.342980878496487,0.2782064428969246
77,48.87938894300034,5.031496812832639,0.10062993625665277
78,11.43950010926951,8.578090134154557,0.17156180268309112
79,34.228038779145095,8.271776038293398,0.07285499060964407
80,55.997016122605274,5.896003643653218,0.11792007287306434
81,34.228038779145095,8.62657887929673,0.7934426648337727
82,13.013040406809612,3.402606715301387,0.10938843307107432
83,20.64426584415136,4.266265445849634,0.16958117016958285
84,34.228038779145095,8.707132671887788,1.022776040466196
85,57.51471248387166,3.1614505753758873,0.07903626438439718
86,79.77049406826687,6.066062529844856,0.1213212505968971
87,47.40050247318693,12.788571704975224,0.2799381386254357
88,17.08822427197352,5.506101101521347,0.18091862214343657
89,69.76473638244774,13.510470367529923,0.7166291713806507
90,34.228038779145095,8.62657887929673,0.7221537776095008
91,34.228038779145095,9.127477007772026,0.4015039281909454
92,26.56596709440756,5.21649651600428,0.0863196960654126
93,18.999088782769817,4.355424398809984,0.07455946012773418
94,49.803543262751994,3.2913298989555235,0.08322973216373045
95,13.505216685578379,14.348957129308186,0.3540358318024584
