episode,reward_modql,epsilon_modql,q_drift_modql,fairness_modql,reward_standard,epsilon_standard,q_drift_standard,fairness_standard
0,9.621450150632924,0.995,0.19242900301265853,0.7272727272727273,20.590865551601013,0.995,0.34318109252668355,0.8401162790697675
1,4.056677411183689,0.990025,0.0811335482236738,0.8,23.47777415437932,0.990025,0.3353967736339902,0.7788461538461539
2,1.7049079615381109,0.985074875,0.042622699038452776,0.8522727272727273,12.398545940740268,0.985074875,0.20967810504877296,0.8810975609756098
3,2.715163103720175,0.9801495006250001,0.06787907759300438,0.7601351351351351,11.372995223691388,0.9801495006250001,0.19025930817068504,0.8027777777777778
4,4.8379326684810176,0.9752487531218751,0.06612640843581707,0.8027777777777778,7.93286673051424,0.9752487531218751,0.15792637509051147,0.8
5,1.3175624642735857,0.9703725093562657,0.02687933191770145,0.8522727272727273,13.488212704572188,0.9703725093562657,0.23118109610795537,0.8810975609756098
6,2.2260170379951973,0.9655206468094844,0.06316937519890362,0.8035714285714286,8.667274479225805,0.9655206468094844,0.1686981206423008,0.8421052631578947
7,13.5056750438314,0.960693043575437,0.19293821491187715,0.7788461538461539,11.586642553250819,0.960693043575437,0.19311070922084703,0.8027777777777778
8,0.8650377890126253,0.9558895783575597,0.028834592967087513,0.765625,14.027474258471663,0.9558895783575597,0.2365170574678861,0.8027777777777778
9,5.179877064764349,0.9511101304657719,0.12949692661910872,0.7211538461538461,11.204744039003446,0.9511101304657719,0.2801186009750861,0.7601351351351351
10,3.557128554502955,0.946354579813443,0.0528495145274049,0.8,29.682255851785598,0.946354579813443,0.4229214734449971,0.81
11,4.559359143405074,0.9416228069143757,0.09536657071923396,0.7272727272727273,5.082378767143562,0.9416228069143757,0.12705946917858904,0.7211538461538461
12,3.106851700120238,0.9369146928798039,0.062137034002404765,0.8,6.883478746256149,0.9369146928798039,0.1399255800509373,0.6666666666666666
13,7.210832606002328,0.9322301194154049,0.11977656145409625,0.7372448979591837,7.5871268282933375,0.9322301194154049,0.1927578854577061,0.7211538461538461
14,6.151379599121201,0.9275689688183278,0.1025229933186867,0.7686170212765957,4.850808506820687,0.9275689688183278,0.1212702126705172,0.907258064516129
15,7.557971505687931,0.9229311239742362,0.12497495350480715,0.8401162790697675,4.941946188674399,0.9229311239742362,0.1227133933749634,0.6859756097560976
16,5.78474993335454,0.918316468354365,0.09496191861868904,0.7686170212765957,5.490651955493976,0.918316468354365,0.1716035597847465,0.6805555555555556
17,7.694841529753919,0.9137248860125932,0.14379233669820493,0.8421052631578947,3.824715722526256,0.9137248860125932,0.09988983873678664,0.7211538461538461
18,2.015940124339394,0.9091562615825302,0.05686075709502304,0.6540697674418605,7.279551433825819,0.9091562615825302,0.133764278166171,0.8
19,3.3945390208512736,0.9046104802746175,0.1026461946710225,0.7272727272727273,5.644106277405978,0.9046104802746175,0.1372330407678931,0.6859756097560976
20,2.9617478206227235,0.9000874278732445,0.051177374812250355,0.7211538461538461,2.142918386840031,0.9000874278732445,0.07795086207890144,0.6805555555555556
21,8.212094436111036,0.8955869907338783,0.07183857396707223,0.8027777777777778,2.984450095073475,0.8955869907338783,0.09948166983578251,0.6805555555555556
22,4.987635559542422,0.8911090557802088,0.10007997298237835,0.7686170212765957,1.826982379078635,0.8911090557802088,0.06281637313130288,0.765625
23,9.224958422308909,0.8866535105013078,0.0951043905274349,0.7686170212765957,4.832137776319861,0.8866535105013078,0.1202842205555268,0.8035714285714286
24,9.4153013405185,0.8822202429488013,0.20746639143025422,0.8401162790697675,10.659780360463035,0.8822202429488013,0.21890093797228083,0.6666666666666666
25,9.05686204612088,0.8778091417340573,0.1447816224446223,0.7372448979591837,4.543400702124289,0.8778091417340573,0.11281724013995602,0.6859756097560976
26,5.823991249655272,0.8734200960253871,0.10236071731374197,0.8810975609756098,17.251182975962372,0.8734200960253871,0.34997148581359094,0.8421052631578947
27,5.162807455688846,0.8690529955452602,0.13540317396178134,0.7211538461538461,13.240010736574579,0.8690529955452602,0.25195366280562503,0.6666666666666666
28,5.760937898093942,0.8647077305675338,0.07519698280057077,0.7686170212765957,7.598304921291452,0.8647077305675338,0.14174577379237996,0.8
29,7.481039423486676,0.8603841919146962,0.12468399039144462,0.8027777777777778,14.585015969221647,0.8603841919146962,0.2487507813778932,0.7686170212765957
30,6.1121773703516435,0.8560822709551227,0.11216874276012267,0.8027777777777778,14.977107370679121,0.8560822709551227,0.2630043985336948,0.8027777777777778
31,7.346573639427046,0.851801859600347,0.14693147278854096,0.7619047619047619,13.547089987769489,0.851801859600347,0.3368147188298364,0.7211538461538461
32,4.279057100557257,0.8475428503023453,0.088028731420055,0.7619047619047619,8.281769859302008,0.8475428503023453,0.15546708990172547,0.7272727272727273
33,10.21338989346839,0.8433051360508336,0.12258334078780302,0.6666666666666666,6.464106193011533,0.8433051360508336,0.1200203066571949,0.7619047619047619
34,11.492087929303317,0.8390886103705794,0.18636979963983502,0.7372448979591837,13.012955440725017,0.8390886103705794,0.2156157810280189,0.7372448979591837
35,7.301791027270033,0.8348931673187264,0.0778958535959555,0.7619047619047619,4.977895256534288,0.8348931673187264,0.11971122472629249,0.8522727272727273
36,1.7963347004985624,0.8307187014821328,0.03275527536750558,0.6859756097560976,4.207210555436068,0.8307187014821328,0.09519891556868426,0.7601351351351351
37,8.329284275477246,0.8265651079747222,0.09526650801353935,0.7372448979591837,1.7818061420345657,0.8265651079747222,0.05939353806781886,0.6447368421052632
38,4.476726335592684,0.8224322824348486,0.10017707679336767,0.8,4.625573868015021,0.8224322824348486,0.12007317679537868,0.6540697674418605
39,5.495582598087862,0.8183201210226743,0.09159304330146435,0.8401162790697675,7.8375838275678165,0.8183201210226743,0.14598861391616128,0.7619047619047619
40,2.9533615923618353,0.8142285204175609,0.05822858368062582,0.6666666666666666,32.98867540004975,0.8142285204175609,0.4686050575032748,0.8804347826086957
41,3.12738175055088,0.810157377815473,0.05114064321242277,0.8421052631578947,4.603529481438838,0.810157377815473,0.09697416742058124,0.8035714285714286
42,0.3300156830919272,0.8061065909263957,0.031365279447430706,0.6814516129032258,8.942910001278445,0.8061065909263957,0.17398596881786757,0.7272727272727273
43,6.335655823112231,0.8020760579717637,0.1287444452813938,0.8027777777777778,18.9268378776089,0.8020760579717637,0.2970831561007828,0.7372448979591837
44,9.679997926301617,0.798065677681905,0.14754697606406333,0.7686170212765957,5.493252122866261,0.798065677681905,0.1575502749492577,0.7205882352941176
45,1.7149534928805208,0.7940753492934954,0.020007516618695282,0.7601351351351351,8.274506817519079,0.7940753492934954,0.16212032233332488,0.8
46,2.8187757316795805,0.7901049725470279,0.0725647944319964,0.8421052631578947,16.734229366465133,0.7901049725470279,0.32793731719690433,0.6666666666666666
47,9.718756716474575,0.7861544476842928,0.13922884318943882,0.7083333333333334,7.70476083545195,0.7861544476842928,0.1515804881610141,0.8
48,1.9462607234128129,0.7822236754458713,0.048265705593663576,0.7211538461538461,7.107887145184928,0.7822236754458713,0.1257387636222335,0.7272727272727273
49,7.964321172352249,0.778312557068642,0.06948180356354196,0.6666666666666666,27.154393964485518,0.778312557068642,0.4122707707060222,0.8027777777777778
50,7.387870062474688,0.7744209942832988,0.11654244393841903,0.6666666666666666,13.860404616959533,0.7744209942832988,0.27864565051956947,0.7619047619047619
